icao,iata,name,city,country,continent,kind,runways,longest_ft,lat,lon
YMLT,LST,Launceston Airport,Launceston (Western Junction),AU,OC,medium_airport,3,6499,-41.54494,147.21078
YMMB,MBW,Melbourne Moorabbin Airport,Melbourne,AU,OC,medium_airport,5,4380,-37.97776,145.09980
YMTG,MGB,Mount Gambier Airport,Mount Gambier,AU,OC,medium_airport,3,5394,-37.74438,140.78056
YPEA,,RAAF Base Pearce,Bullsbrook,AU,OC,medium_airport,3,8002,-31.66780,116.01500
YPIR,PPI,Port Pirie Airport,,AU,OC,medium_airport,3,3507,-33.23890,137.99499
YPJT,JAD,Perth Jandakot Airport,Perth,AU,OC,medium_airport,3,4948,-32.09750,115.88100
YPLC,PLO,Port Lincoln Airport,Port Lincoln,AU,OC,medium_airport,3,4918,-34.60530,135.88000
YREN,RMK,Renmark Airport,,AU,OC,medium_airport,3,5709,-34.19640,140.67400
YSBK,BWU,Sydney Bankstown Airport,Sydney,AU,OC,medium_airport,3,4644,-33.92362,150.99079
YSSY,SYD,Sydney Kingsford Smith International Airport,Sydney (Mascot),AU,OC,large_airport,3,12999,-33.94610,151.17700
YSTW,TMW,Tamworth Airport,Tamworth,AU,OC,medium_airport,4,7218,-31.07790,150.84548
YSWH,SWH,Swan Hill Airport,,AU,OC,medium_airport,3,4905,-35.37580,143.53300
YTEM,TEM,Temora Airport,Temora,AU,OC,medium_airport,3,6454,-34.42140,147.51199
YWSL,SXE,West Sale Airport,Sale,AU,OC,medium_airport,3,5010,-38.09083,146.96534
ZBAA,PEK,Beijing Capital International Airport,Beijing,CN,AS,large_airport,3,12467,40.07735,116.59670
ZBAD,PKX,Beijing Daxing International Airport,Beijing,CN,AS,large_airport,4,12467,39.50129,116.41397
ZGGG,CAN,Guangzhou Baiyun International Airport,Guangzhou (Huadu),CN,AS,large_airport,5,12467,23.39240,113.29900
ZGSZ,SZX,Shenzhen Bao'an International Airport,Shenzhen,CN,AS,large_airport,3,12467,22.63947,113.80326
ZHHH,WUH,Wuhan Tianhe International Airport,Wuhan (Huangpi),CN,AS,large_airport,3,11811,30.77480,114.21372
ZLLL,LHW,Lanzhou Zhongchuan International Airport,Lanzhou (Yongdeng),CN,AS,large_airport,3,13123,36.51520,103.62000
ZLXY,XIY,Xi'an Xianyang International Airport,Xi'an,CN,AS,large_airport,4,12467,34.44221,108.76238
ZSPD,PVG,Shanghai Pudong International Airport,Shanghai (Pudong),CN,AS,large_airport,5,13123,31.14340,121.80500
ZUCK,CKG,Chongqing Jiangbei International Airport,Chongqing,CN,AS,large_airport,4,12467,29.71225,106.65189
ZULS,LXA,Lhasa Gonggar International Airport,Shannan (Gonggar),CN,AS,large_airport,3,13123,29.29800,90.91195
ZUTF,TFU,Chengdu Tianfu International Airport,Chengdu (Jianyang),CN,AS,large_airport,3,13123,30.31252,104.44128
ZWWW,URC,Ürümqi Tianshan International Airport,Ürümqi,CN,AS,large_airport,3,11811,43.91358,87.47937
